coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
100272,JPawelek,,2017,or,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:e6331de2-075b-43c2-a644-8f422e799a2b,"2018-02-24 10:34:30"
100336,"Jaime Pawelek",,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:405a0c2e-8164-4155-b93a-52965d17439b,"2018-02-24 11:29:02"
100329,JPawelek,,2017,,"Lasioglossum (Lasio)",,1,,,,,,,,urn:uuid:16ba7934-81b9-4498-9ea7-20cf2edf2405,"2018-02-24 11:32:42"
100344,"Jaime Pawelek",,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:c57f0e19-7dfd-4462-a1e1-80052a3119b8,"2018-02-24 11:34:03"
100347,JPawelek,,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:60d84dd6-6f4c-45e7-8406-9ee0cf3dcc00,"2018-02-24 12:04:52"
100411,unknown,,unknown,,Machilidae,,0,,,,,,,,urn:uuid:514bded6-ba18-4d6a-b9c4-dfb08ecd8d40,"2018-02-24 13:11:57"
102607,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:68ef0049-c7c3-4207-a7e5-a63e2034cb67,"2018-04-16 15:32:15"
102608,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:71fe6016-204b-4b3f-ad5b-e4e627509ad8,"2018-04-16 15:32:41"
102609,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:a15286dc-3e57-49ac-b218-655f7e4a8b11,"2018-04-16 15:33:11"
102610,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:6758f018-ba86-4414-8beb-7c3d78221941,"2018-04-16 15:33:51"
102610,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU901",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:4781d4fb-865a-4245-9f92-f6df85ede0a5,"2018-04-16 15:34:53"
102609,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1105",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:2cc1136a-e36a-49c3-ac8f-7cda0b7e33c3,"2018-04-16 15:39:06"
102607,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:3f9b5e8a-cb96-4ceb-b816-deb5342a5fd5,"2018-04-16 15:40:17"
102608,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:34db21ef-13ad-44e4-accd-dac38216e5a2,"2018-04-16 15:40:50"
102611,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:32b8bbf4-779e-49b8-98e9-b550bd02909e,"2018-04-16 15:42:18"
102611,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:8b4279ed-f734-496b-89c8-9a3b924a470b,"2018-04-16 15:42:28"
102612,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:1efe211e-cdde-432e-82ab-5b214fa802b4,"2018-04-16 15:46:57"
102612,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:1a6602e5-235a-48a2-a6f9-c09c5e405082,"2018-04-16 15:47:04"
