gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3051551584	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/IMG_1060_1614293650.jpg											
3051551583	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044488.jpg											
3051551582	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044487.jpg											
3051551581	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044486_lg.jpg											
3051551580	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044494.jpg											
3051551579	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044493.jpg											
3051551578	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044485.jpg											
3051551577	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044483_lg.jpg											
3051551576	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044491.jpg											
3051551575	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044492_lg.jpg											
3051551574	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044489.jpg											
3051551573	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044498.jpg											
3051551572	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044490.jpg											
3051551571	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044497.jpg											
3051551570	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044495_lg.jpg											
3051551569	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044496.jpg											
3051551568	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044506.jpg											
3051551567	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044508_lg.jpg											
3051551566	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044507.jpg											
3051551565	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044512_lg.jpg											
3051551564	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044505.jpg											
3051551563	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044504_lg.jpg											
3051551562	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044503.jpg											
3051551561	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044466.jpg											
3051551560	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044465_lg.jpg											
3051551559	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044467.jpg											
3051551558	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044464_lg.jpg											
3051551557	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044474_lg.jpg											
3051551556	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044476.jpg											
3051551555	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044472.jpg											
3051551554	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044473_lg.jpg											
3051551553	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044469.jpg											
3051551552	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044471.jpg											
3051551551	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044480.jpg											
3051551550	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044478.jpg											
3051551549	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044482.jpg											
3051551548	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044479.jpg											
3051551547	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044477.jpg											
